id,name
379,한국외대
380,한국외대(글로벌)
381,한국체육대
382,한국항공대
383,한국해양대
384,한남대
385,한동대
386,한라대
387,한려대
388,한림대
389,한림성심대학
390,한밭대
391,한서대
392,한서대(태안)
393,한성대
394,한세대
395,한신대
396,한양대
397,한양대(ERICA)
398,한양여자대학
399,한영대학
400,한영신학대
401,한일장신대
402,한중대
403,해군사관학교
404,협성대
405,혜전대학
406,혜천대학
407,호남대
408,호남대(쌍촌)
409,호남신학대
410,호서대
411,호서대(아산)
412,호원대
413,홍익대
414,홍익대(세종)
415,해외대학
416,건양사이버대학
417,경희사이버대학
418,고려사이버대학
419,국제사이버대학
420,글로벌사이버대학
421,대구사이버대학
422,디지털서울문화예술대학
423,부산디지털대학
424,사이버한국외국어대학
425,서울디지털대학
426,서울사이버대학
427,세종사이버대학
428,숭실사이버대학
429,열린사이버대학
430,원광디지털대학
431,한양사이버대학
432,화신사이버대학
433,영진사이버대학
434,한국복지사이버대학
435,한국폴리텍대학
436,한국예술종합학교
437,서울호서직업전문학교
438,한국방송통신대학교
439,한국IT전문학교
